_id,date,center_name,attendance_count
49150805,2025-10-02,Paulson Community Center,26
49150806,2025-10-02,Warrington Community Center,38
49150807,2025-10-02,Magee Community Center,10
49150808,2025-10-02,West Penn Community Center,124
49150809,2025-10-01,Ammon Community Center,27
49150810,2025-10-01,Arlington Community Center,55
49150811,2025-10-01,Brookline Community Center,34
49150812,2025-10-01,Ormsby Community Center,5
49150813,2025-10-01,Paulson Community Center,17
49150814,2025-10-01,Phillips Community Center,38
49150815,2025-10-01,Warrington Community Center,23
49150816,2025-10-01,Magee Community Center,12
49150817,2025-10-01,Jefferson Community Center,25
49150818,2025-10-01,West Penn Community Center,90
49150819,2025-09-30,Ammon Community Center,23
49150820,2025-09-30,Brookline Community Center,36
49150821,2025-09-30,Arlington Community Center,22
49150822,2025-09-30,Ormsby Community Center,7
49150823,2025-09-30,Phillips Community Center,50
49150824,2025-09-30,Paulson Community Center,12
49150825,2025-09-30,Warrington Community Center,22
49150826,2025-09-30,Jefferson Community Center,49
49150827,2025-09-30,Magee Community Center,15
49150828,2025-09-30,West Penn Community Center,44
49150829,2025-09-29,Ammon Community Center,20
49150830,2025-09-29,Arlington Community Center,7
49150831,2025-09-29,Brookline Community Center,23
49150832,2025-09-29,Ormsby Community Center,15
49150833,2025-09-29,Paulson Community Center,15
49150834,2025-09-29,Phillips Community Center,78
49150835,2025-09-29,Warrington Community Center,16
49150836,2025-09-29,Magee Community Center,42
49150837,2025-09-29,West Penn Community Center,71
49150838,2025-09-27,Ormsby Community Center,1
49150839,2025-09-27,Phillips Community Center,4
49150840,2025-09-27,Paulson Community Center,1
49150841,2025-09-27,Warrington Community Center,1
49150842,2025-09-27,Magee Community Center,7
49150843,2025-09-27,West Penn Community Center,45
49150844,2025-09-26,Ammon Community Center,10
49150845,2025-09-26,Brookline Community Center,26
49150846,2025-09-26,Arlington Community Center,22
49150847,2025-09-26,Ormsby Community Center,10
49150848,2025-09-26,Paulson Community Center,16
49150849,2025-09-26,Phillips Community Center,46
49150850,2025-09-26,Warrington Community Center,28
49150851,2025-09-26,Magee Community Center,28
49150852,2025-09-26,Jefferson Community Center,21
49150853,2025-09-26,West Penn Community Center,74
49150854,2025-09-25,Ammon Community Center,38
49150855,2025-09-25,Arlington Community Center,11
49150856,2025-09-25,Brookline Community Center,28
49150857,2025-09-25,Ormsby Community Center,8
49150858,2025-09-25,Phillips Community Center,44
49150859,2025-09-25,Paulson Community Center,1
49150860,2025-09-25,Warrington Community Center,29
49150861,2025-09-25,Jefferson Community Center,45
49150862,2025-09-25,Magee Community Center,30
49150863,2025-09-25,West Penn Community Center,117
49150864,2025-09-24,Ammon Community Center,35
49150865,2025-09-24,Brookline Community Center,25
49150866,2025-09-24,Arlington Community Center,75
49150867,2025-09-24,Ormsby Community Center,12
49150868,2025-09-24,Paulson Community Center,3
49150869,2025-09-24,Phillips Community Center,59
49150870,2025-09-24,Warrington Community Center,16
49150871,2025-09-24,Magee Community Center,19
49150872,2025-09-24,Jefferson Community Center,42
49150873,2025-09-24,West Penn Community Center,107
49150874,2025-09-23,Arlington Community Center,38
49150875,2025-09-23,Brookline Community Center,49
49150876,2025-09-23,Ormsby Community Center,24
49150877,2025-09-23,Phillips Community Center,34
49150878,2025-09-23,Paulson Community Center,7
49150879,2025-09-23,Warrington Community Center,17
49150880,2025-09-23,Jefferson Community Center,37
49150881,2025-09-23,Magee Community Center,14
49150882,2025-09-23,West Penn Community Center,62
49150883,2025-09-22,Brookline Community Center,18
49150884,2025-09-22,Arlington Community Center,12
49150885,2025-09-22,Ormsby Community Center,15
49150886,2025-09-22,Paulson Community Center,9
49150887,2025-09-22,Phillips Community Center,71
49150888,2025-09-22,Warrington Community Center,28
49150889,2025-09-22,Magee Community Center,24
49150890,2025-09-22,Jefferson Community Center,41
49150891,2025-09-22,West Penn Community Center,77
49150892,2025-09-20,Ormsby Community Center,2
49150893,2025-09-20,Phillips Community Center,5
49150894,2025-09-20,Warrington Community Center,12
49150895,2025-09-20,Magee Community Center,6
49150896,2025-09-20,West Penn Community Center,32
49150897,2025-09-19,Arlington Community Center,12
49150898,2025-09-19,Brookline Community Center,17
49150899,2025-09-19,Ormsby Community Center,4
49150900,2025-09-19,Phillips Community Center,24
49150901,2025-09-19,Paulson Community Center,10
49150902,2025-09-19,Warrington Community Center,32
49150903,2025-09-19,Magee Community Center,23
